;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
SHOPPING BASKET;;;;;;;;;;
This is not an invoice;;;;;;;;;;
helmi 18, 2017 11:58:47;;;;;;;;;;
;Mouser No;Mfr. No;Manufacturer;Customer No;Description ;RoHS;Lifecycle;Order Qty.;Price (EUR);Ext: (EUR)
59;667-ERJ-3EKF3302V;ERJ-3EKF3302V;Panasonic;;Thick Film Resistors - SMD 0603 33Kohms 1% AEC-Q200;RoHS Compliant By Exemption;;20;0,013 €;0,26 €
60;667-ERJ-3EKF2702V;ERJ-3EKF2702V;Panasonic;;Thick Film Resistors - SMD 0603 27Kohms 1% AEC-Q200;RoHS Compliant By Exemption;;10;0,013 €;0,13 €
61;667-ERJ-3EKF2202V;ERJ-3EKF2202V;Panasonic;;Thick Film Resistors - SMD 0603 22Kohms 1% AEC-Q200;RoHS Compliant By Exemption;;10;0,013 €;0,13 €
62;667-ERJ-3EKF1502V;ERJ-3EKF1502V;Panasonic;;Thick Film Resistors - SMD 0603 15Kohms 1% AEC-Q200;RoHS Compliant By Exemption;;10;0,013 €;0,13 €
63;667-ERJ-3EKF6801V;ERJ-3EKF6801V;Panasonic;;Thick Film Resistors - SMD 0603 6.8Kohms 1% AEC-Q200;RoHS Compliant By Exemption;;10;0,013 €;0,13 €
64;667-ERJ-3EKF5100V;ERJ-3EKF5100V;Panasonic;;Thick Film Resistors - SMD 0603 510ohms 1% AEC-Q200;RoHS Compliant By Exemption;;10;0,013 €;0,13 €
65;81-GRM21BR61E226ME4L;GRM21BR61E226ME44L;Murata;;Multilayer Ceramic Capacitors MLCC - SMD/SMT 0805 22uF 25volts X5R 20%;RoHS Compliant;;10;0,20 €;2,00 €
66;667-EEE-FP1V220AR;EEE-FP1V220AR;Panasonic;;Aluminium Electrolytic Capacitors - SMD 22UF 35V ELECT FP SMD;RoHS Compliant;;10;0,278 €;2,78 €
67;81-GRT21BR61E226ME3L;GRT21BR61E226ME13L;Murata;;Multilayer Ceramic Capacitors MLCC - SMD/SMT 0805 25Vdc 22uF X5R 20%;RoHS Compliant;New At Mouser;4;0,538 €;2,15 €
68;810-CGA3E1C0G2A103J8;CGA3E1C0G2A103J080AC;TDK;;Multilayer Ceramic Capacitors MLCC - SMD/SMT 0603 0.01uF 100volts C0G +/-5% 0.80mm;RoHS Compliant;;4;0,339 €;1,36 €
69;81-GRM1555C1H101JA1D;GRM1555C1H101JA01D;Murata;;Multilayer Ceramic Capacitors MLCC - SMD/SMT 0402 100pF 50volts C0G 5%;RoHS Compliant;;10;0,006 €;0,06 €
70;667-ERJ-2GEJ155X;ERJ-2GEJ155X;Panasonic;;Thick Film Resistors - SMD 0402 1.5Mohms 5% Tol AEC-Q200;RoHS Compliant By Exemption;;10;0,012 €;0,12 €
71;667-ERJ-2RKF1004X;ERJ-2RKF1004X;Panasonic;;Thick Film Resistors - SMD 0402 1Mohms 1% Tol AEC-Q200;RoHS Compliant By Exemption;;10;0,014 €;0,14 €
72;667-ERJ-2RKF4703X;ERJ-2RKF4703X;Panasonic;;Thick Film Resistors - SMD 0402 470Kohms 1% AEC-Q200;RoHS Compliant By Exemption;;10;0,014 €;0,14 €
73;667-ERA-2AEB104X;ERA-2AEB104X;Panasonic;;Thin Film Resistors - SMD 0402 1/16W 100Kohms;RoHS Compliant By Exemption;;10;0,234 €;2,34 €
74;667-ERJ-2RKF2203X;ERJ-2RKF2203X;Panasonic;;Thick Film Resistors - SMD 0402 220Kohms 1% AEC-Q200;RoHS Compliant By Exemption;;10;0,014 €;0,14 €
75;279-CPF0402B200KE1;CPF0402B200KE1;TE Connectivity;;Thin Film Resistors - SMD 200K  OHM  .1% 25PPM;RoHS Compliant;;10;0,152 €;1,52 €
76;667-ERJ-2RKF1002X;ERJ-2RKF1002X;Panasonic;;Thick Film Resistors - SMD 0402 10Kohms 1% AEC-Q200;RoHS Compliant;;10;0,014 €;0,14 €
77;667-ERJ-2RKF4701X;ERJ-2RKF4701X;Panasonic;;Thick Film Resistors - SMD 0402 4.7Kohms 1% AEC-Q200;RoHS Compliant By Exemption;;10;0,014 €;0,14 €
78;667-ERJ-2RKF1001X;ERJ-2RKF1001X;Panasonic;;Thick Film Resistors - SMD 0402 1Kohms 1% AEC-Q200;RoHS Compliant By Exemption;;10;0,014 €;0,14 €
79;833-B5819W-TP;B5819W-TP;Micro Commercial Components (MCC);;Schottky Diodes & Rectifiers 1A, 40V;RoHS Compliant;;10;0,238 €;2,38 €
80;821-SD101CW;SD101CW;Taiwan Semiconductor;;Schottky Diodes & Rectifiers 15mA 40 Volt 400mW;RoHS Compliant By Exemption;;10;0,06 €;0,60 €
81;80-C0603C561J3G;C0603C561J3GACTU;Kemet;;Multilayer Ceramic Capacitors MLCC - SMD/SMT 25volts 560pF C0G 5%;RoHS Compliant;;10;0,136 €;1,36 €
;;;;;;;;;;
;;;;;;;;;;
"By submitting your order you agree

to these terms and conditions.";;;;;;;;;Merchandise Total:;148,47 €
Prices are reflected at the date and time shown.;;;;;;;;;Delivery Charge:;0,00 €
;;;;;;;;;Back-order Delivery:;0,00 €
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
